COMID,Row,Col,Elev,QBaseflow,q_1,v_1,t_1,wse_1,q_2,v_2,t_2,wse_2,q_3,v_3,t_3,wse_3,q_4,v_4,t_4,wse_4,q_5,v_5,t_5,wse_5,q_6,v_6,t_6,wse_6,q_7,v_7,t_7,wse_7,q_8,v_8,t_8,wse_8,q_9,v_9,t_9,wse_9,q_10,v_10,t_10,wse_10,q_11,v_11,t_11,wse_11,q_12,v_12,t_12,wse_12,q_13,v_13,t_13,wse_13,q_14,v_14,t_14,wse_14,q_15,v_15,t_15,wse_15
441090206,26,12,1276.5,360.792,4.783,1.281,13.717,1277.045,30.373,2.033,27.433,1277.589,89.55,2.664,41.15,1278.134,192.857,3.227,54.867,1278.679,373.32,3.984,71.231,1279.223,176.708,1.282,90.662,1279.768,279.472,1.453,109.517,1280.313,351.477,1.365,129.87,1280.857,489.275,1.466,150.457,1281.402,753.989,1.786,175.801,1281.947,1034.592,1.968,204.238,1282.491,1383.57,2.151,227.154,1283.036,2586.191,3.327,298.614,1283.581,3604.314,3.782,344.347,1284.125,5005.045,4.276,428.34,1284.67
441090206,27,13,1276.5,360.792,4.354,3.95,6.298,1276.85,27.643,6.271,12.595,1277.2,81.501,8.217,18.893,1277.55,175.523,9.954,25.191,1277.9,318.245,11.55,31.489,1278.25,517.501,13.043,37.786,1278.6,780.614,14.455,44.084,1278.95,1114.503,15.801,50.382,1279.3,668.534,6.702,94.313,1279.65,1072.655,7.968,104.97,1280.0,1591.206,9.186,115.628,1280.35,2234.476,10.366,126.286,1280.7,3022.839,11.567,134.548,1281.05,3947.745,12.747,141.821,1281.4,5008.45,13.889,149.095,1281.75
441090206,28,14,1277.0,360.792,0.916,0.515,8.045,1277.442,5.813,0.817,16.091,1277.884,17.139,1.071,24.136,1278.326,36.912,1.298,32.181,1278.768,66.926,1.506,40.226,1279.21,108.828,1.7,48.272,1279.652,286.834,2.554,126.41,1280.094,550.315,3.244,132.981,1280.536,882.67,3.84,139.552,1280.978,1280.625,4.371,146.124,1281.42,1742.444,4.853,152.695,1281.862,2267.268,5.298,159.266,1282.304,2854.796,5.712,165.837,1282.746,3505.096,6.1,172.409,1283.188,6804.035,10.394,201.994,1283.63
441090206,28,15,1277.0,360.792,3.07,1.015,12.834,1277.471,19.495,1.611,25.669,1277.943,57.478,2.111,38.503,1278.414,123.786,2.558,51.337,1278.885,293.669,3.886,63.418,1279.357,478.293,4.445,72.463,1279.828,378.001,2.612,89.47,1280.299,477.333,2.47,116.346,1280.771,894.055,3.088,170.099,1281.242,1346.198,3.623,178.207,1281.713,1891.214,4.134,186.315,1282.185,2532.153,4.627,194.423,1282.656,3272.421,5.107,202.531,1283.127,4115.647,5.576,210.639,1283.599,5022.083,5.859,304.816,1284.07
441090206,29,16,1277.0,360.792,2.463,1.052,8.103,1277.578,15.642,1.67,16.207,1278.156,46.117,2.188,24.31,1278.734,99.318,2.651,32.413,1279.312,180.075,3.076,40.516,1279.89,292.822,3.473,48.62,1280.468,441.701,3.849,56.723,1281.046,260.97,1.725,73.161,1281.624,334.786,1.673,95.924,1282.202,657.242,2.12,163.072,1282.78,784.721,1.919,181.474,1283.358,1216.224,2.319,222.491,1283.936,1750.575,2.532,367.209,1284.514,3366.513,3.649,425.55,1285.092,5026.098,4.264,458.325,1285.67
441090206,30,17,1277.0,360.792,1.935,1.044,6.918,1277.536,12.288,1.657,13.835,1278.072,36.23,2.171,20.753,1278.608,78.026,2.63,27.67,1279.144,141.471,3.052,34.588,1279.68,230.047,3.447,41.506,1280.216,347.01,3.82,48.423,1280.752,495.436,4.176,55.341,1281.288,347.469,2.17,105.778,1281.824,586.023,2.645,123.463,1282.36,914.297,3.124,143.081,1282.896,1502.242,3.988,171.195,1283.432,2214.142,4.552,234.796,1283.968,3252.781,5.227,280.648,1284.504,5000.087,5.715,504.275,1285.04
441090206,30,18,1277.5,360.792,3.228,1.0,12.495,1278.017,20.499,1.588,24.991,1278.533,60.439,2.08,37.486,1279.05,130.163,2.52,49.981,1279.567,104.177,1.298,60.316,1280.083,170.365,1.495,70.143,1280.6,255.92,1.676,79.97,1281.117,362.552,1.844,89.797,1281.633,406.298,1.52,148.028,1282.15,567.633,1.626,168.728,1282.667,1268.896,2.85,209.458,1283.183,1861.676,3.293,255.34,1283.7,2694.703,3.788,297.274,1284.217,3747.32,4.305,318.715,1284.733,5012.383,4.816,340.691,1285.25
441090206,31,19,1277.5,360.792,3.081,1.099,9.168,1278.111,19.564,1.745,18.336,1278.723,57.681,2.287,27.504,1279.334,124.224,2.771,36.672,1279.945,225.233,3.215,45.84,1280.557,366.253,3.63,55.008,1281.168,133.434,0.97,69.473,1281.779,201.133,0.928,149.266,1282.391,323.455,1.015,186.55,1283.002,599.844,1.355,216.702,1283.613,997.506,1.652,291.931,1284.225,1604.996,1.99,357.714,1284.836,2415.919,2.34,381.134,1285.447,3417.441,2.683,410.614,1286.059,5008.693,3.105,520.957,1286.67
441090206,32,20,1277.5,360.792,2.964,1.047,10.851,1278.022,18.821,1.661,21.703,1278.544,55.491,2.177,32.554,1279.066,119.506,2.637,43.406,1279.588,238.153,3.357,55.224,1280.11,387.459,3.76,67.795,1280.632,588.799,4.154,80.366,1281.154,848.487,4.538,92.937,1281.676,1467.261,6.003,128.208,1282.198,723.824,2.077,220.305,1282.72,1179.519,2.518,239.141,1283.242,1764.884,2.951,257.977,1283.764,2547.893,3.38,335.927,1284.286,3640.543,3.879,371.736,1284.808,5024.935,4.381,423.819,1285.33
441090206,32,21,1277.5,360.792,2.473,1.174,8.032,1278.025,15.704,1.863,16.064,1278.549,46.3,2.442,24.096,1279.074,99.713,2.958,32.128,1279.599,180.791,3.432,40.16,1280.123,293.987,3.876,48.192,1280.648,443.458,4.295,56.224,1281.173,633.137,4.695,64.256,1281.697,1590.398,7.755,165.077,1282.222,570.377,1.901,194.671,1282.747,793.201,1.94,220.154,1283.271,1636.409,3.065,257.622,1283.796,2419.613,3.569,287.678,1284.321,3404.511,4.078,310.357,1284.845,5029.129,4.699,411.952,1285.37
441090206,32,22,1278.0,360.792,1.848,1.075,7.782,1278.442,11.737,1.706,15.564,1278.884,34.604,2.236,23.346,1279.326,74.525,2.708,31.127,1279.768,135.123,3.143,38.909,1280.21,219.724,3.549,46.691,1280.652,331.438,3.933,54.473,1281.094,473.203,4.299,62.255,1281.536,348.117,2.243,124.534,1281.978,727.505,3.307,163.497,1282.42,1187.757,3.983,190.443,1282.862,1813.418,4.667,220.083,1283.304,2645.79,5.364,253.699,1283.746,3725.831,6.112,271.862,1284.188,5016.661,6.828,296.143,1284.63
441090206,33,23,1278.0,360.792,3.553,1.411,9.291,1278.542,22.563,2.24,18.583,1279.084,66.523,2.935,27.874,1279.626,143.265,3.556,37.166,1280.168,259.756,4.126,46.457,1280.71,422.392,4.66,55.749,1281.252,185.146,1.444,99.135,1281.794,366.05,1.929,132.795,1282.336,668.211,2.436,180.262,1282.878,1158.525,3.016,221.295,1283.42,1855.834,3.627,248.49,1283.962,2769.42,4.24,273.183,1284.504,3923.423,4.858,295.833,1285.046,3601.835,3.619,384.086,1285.588,5022.197,4.111,454.458,1286.13
